,model,alpha,length,diff_coef,loc_error,UCL,eduN,HNU,FCI,Erasmus MC,BIT,WUST ML B,UPV-MAT,TSA,DecBayComp,TA-MSD
14,2.0,1.6500000000000001,725,-0.20279633523264243,1.0,1.725,1.55546,1.7051402,1.6459576,1.8067892789840696,1.8362,1.6247818,1.848,1.60075,1.5355611,1.67812
15,4.0,1.1,115,2.2942590175211675,10.0,0.95,0.89206,0.89334345,1.0384465,0.7540249824523926,0.9928,1.1451483,0.618,1.13985,1.9530572,0.82599
16,4.0,0.7500000000000001,530,0.20906834818714076,10.0,0.75,0.68503,0.737124,0.7384721,1.0156148672103882,0.83416,1.1180204,0.711,0.88325,0.62990725,1.02421
17,1.0,0.4,192,0.8286452026695393,5.5,0.5,0.62332,0.51080096,0.60630924,0.7676929235458374,0.8206,0.64385027,0.608,0.86928,0.3867894,0.72276
18,4.0,1.35,725,0.9148048276036302,6.0,1.325,1.4035,1.3598735,1.4001133,1.673408269882202,1.4769,1.2275128,1.251,1.31892,1.649988,1.06165
19,1.0,0.7000000000000001,318,-0.17008812675591456,5.5,0.95,0.84547,0.85602075,0.8207915,0.8577337861061096,0.81351,0.64766765,0.894,0.56922,0.5323916999999999,0.82301
20,2.0,0.45,351,1.280128771299006,6.0,0.6,0.5661,0.5153593,0.49877325,0.5220956206321716,0.7134,0.5689415,0.58,0.7043,0.7242418,0.40187
21,1.0,0.2,62,-0.8374312081152857,1.5,0.1,0.23123,0.24169356,0.3848541,0.260206401348114,0.17892,0.365088,0.372,0.91781,0.11155839,-0.03987
22,4.0,0.8,457,-0.8358844687767835,1.5,0.95,0.81283,0.8271432,0.8923782,0.7343194484710693,0.97551,1.1345959,0.539,1.03118,0.7560131,0.94992
23,0.0,0.3,903,-2.868108690303456,10.0,0.25,0.22456,0.31337786,0.33219296,0.265880137681961,0.54011,0.36446196,0.202,0.5,0.7010108,0.10043
24,1.0,0.2,622,-0.49028616691454363,1.5,0.1,0.16138,0.1700131,0.14711985,0.2149046659469604,0.18941,0.21291322,0.177,1.08471,0.32000744,-0.00611
25,3.0,1.1,591,0.8889486328703976,1.5,1.175,1.2646,1.3335011,1.265046,1.1387078762054443,1.449,1.2742717,1.421,1.29209,1.1651508999999998,1.22966
26,4.0,1.2000000000000002,957,1.6874628825223903,6.0,1.125,1.07455,1.1319956,1.037679,1.2746793031692505,1.0893,1.052464,1.145,1.05419,1.5191613000000002,0.9041
27,4.0,0.15000000000000002,769,-0.04503365118400266,5.5,0.1,0.12149,0.2806548,0.22866446,0.2796169221401214,0.17926,0.61654294,0.099,0.26624,0.6271031,0.53506
28,4.0,0.1,195,-0.45753677084717603,1.5,0.15,0.17212,0.3654182,0.30108503,0.2707085907459259,0.28386,0.48958665,0.535,0.2259,0.69919693,0.84098
29,4.0,1.9500000000000002,87,-1.5454423802779265,6.0,1.775,1.13903,1.2723554,1.500697,1.3379908800125122,1.7204,0.9153986,0.287,0.70851,0.48502457,0.19224
30,4.0,0.9500000000000001,469,0.3877167972039695,1.5,0.95,0.85829,0.8017197,0.76419026,0.7125136852264404,0.83606,1.1290728,0.842,0.93973,1.1908326,0.87929
31,4.0,1.7000000000000002,83,0.24454358095082726,2.0,1.925,1.20896,1.1422747,1.326401,0.6268823146820068,1.6043,0.9143543,0.998,0.83549,0.6995232,0.48163
32,2.0,0.6500000000000001,760,-1.1305471093958486,1.0,0.5,0.51415,0.53774095,0.4505911,0.2956388294696808,0.46326,0.5599648,0.486,0.53465,0.3766964,0.49186
33,4.0,0.4,237,0.011367457573818324,10.0,0.35,0.33912,0.55687433,0.49474892,0.2468853294849395,0.44146,0.7078159,0.214,0.90985,0.5031913,1.11358
34,1.0,0.15000000000000002,390,0.4203116345620002,5.5,0.3,0.34484,0.37283394,0.47622588,0.4049234986305237,0.63554,0.36474645,0.422,0.76814,0.5253448000000001,0.45519
35,4.0,1.2000000000000002,46,0.7594690456610412,5.5,1.075,1.08077,1.012643,1.0635496,1.002280831336975,1.2692,0.7954729,0.373,1.26121,1.1706101,0.30322
36,2.0,0.4,75,0.9745710847475448,5.5,1.575,0.55154,0.58067304,0.6624375,0.3385746777057647,0.7415,0.4525106,0.463,0.7059,0.8272785,0.17837
37,2.0,1.1,585,-1.7316635191085188,10.0,1.275,1.21636,1.2620223,1.17525,1.2066527605056765,1.058,1.2758992,1.282,1.23354,0.76374036,1.20673
38,2.0,1.55,891,0.9035942067057009,1.0,1.475,1.47728,1.5582793,1.299063,1.4644781351089478,1.447,1.4830266,1.635,1.6089,0.9694922,1.45229
39,0.0,0.25,738,0.49343696479313987,1.5,0.1,0.27786,0.2565139,0.33219296,0.2098337113857269,0.16839,0.31352913,0.228,1.13689,0.4872010999999999,0.93886
40,3.0,1.7000000000000002,440,-2.1145220357665027,10.0,1.525,1.45817,1.4953105,1.5762568,1.5933918952941897,1.8112,1.6940694,1.413,1.95531,1.4558344,1.84095
41,4.0,1.6500000000000001,734,-1.3122148481143612,5.5,1.675,1.72413,1.6515086,1.6860703,1.840462327003479,1.8084,1.1367116,1.824,1.39217,1.1114372,0.88816
42,4.0,1.9500000000000002,911,0.31382585896820436,2.0,1.925,1.8729,1.8328387,1.8691005,1.8566339015960691,1.7699,1.0938045,1.52,1.33469,0.6854399,1.03657
43,4.0,1.9500000000000002,788,-0.8551249842171004,5.5,1.875,1.84936,1.8239582,1.7739466,1.847821950912476,1.9029,1.0424546,1.771,1.2588,1.5563675,0.93208
44,1.0,0.7500000000000001,434,0.26015778923740923,2.0,0.55,0.67119,0.68323046,0.7416003,0.7472451329231262,0.66998,0.6218357,0.586,0.30941,0.48076653,0.82625
45,2.0,0.8,61,0.4503866032256544,1.5,0.3,0.52158,0.54526156,0.8332094,0.3941603004932403,0.56984,1.0895511,0.35,1.05051,1.1706922,0.11988
46,4.0,1.7500000000000002,858,0.566789976879195,6.0,1.725,1.79131,1.8025575,1.8033417,1.8382115364074707,1.9003,1.1188445,0.354,1.29875,0.7282653,0.78356
47,0.0,0.4,61,0.5632967678180687,6.0,0.2,0.45972,0.36378694,0.33219296,0.3897638320922851,0.069416,0.28184438,0.31,0.5,0.11467984,0.06942
48,1.0,0.2,403,0.5298747378547515,6.0,0.1,0.18466,0.18773748,0.20320347,0.2167999744415283,0.22157,0.21291322,0.164,0.71858,0.29196963,-0.01959
49,4.0,1.9500000000000002,804,0.22331586594753006,10.0,1.925,1.91823,1.9454354,1.9008045,1.867782711982727,1.901,1.3521333,0.339,1.42952,1.1181293,1.25066
50,4.0,0.2,642,0.44425253279690696,5.5,0.3,0.21819,0.3600514,0.38688293,0.2732402980327606,0.27464,0.6534584,0.13,0.66771,0.5973947,0.92525
51,4.0,1.4500000000000002,22,1.5221951961402607,1.5,1.575,0.87387,0.9239581,1.1839134,0.8475248217582703,1.4375,1.0028476,0.45,0.93404,0.84528714,0.47924
52,2.0,1.4000000000000001,896,2.151048037951674,1.5,1.325,1.38864,1.3292509,1.2382891,1.2298575639724731,0.56946,1.2507561,1.328,1.14433,1.5574111000000002,1.17054
53,4.0,1.7500000000000002,941,-0.6623586386988431,6.0,1.825,1.82394,1.6984699,1.7490716,1.8426613807678225,1.6771,1.1464341,0.806,1.50397,0.84267104,1.03061
54,2.0,1.1,996,0.1261293037139249,1.5,1.075,1.14091,1.1119328,1.0087513,0.8178806304931641,1.2987,1.1366471,1.275,1.11635,0.830139,1.0585
55,3.0,1.8,482,1.1636531060943192,1.0,1.475,1.56237,1.5851018,1.5162592,1.4888007640838623,1.6169,1.4908944,1.346,1.53626,1.0630423999999998,1.48818
56,4.0,1.3,496,0.7724117699580922,6.0,1.275,1.3421,1.3166113,1.3154304,1.3970342874526978,1.3028,1.0494051,1.248,0.86483,1.2788672,0.9043
57,2.0,0.05,459,-0.4763265536983248,1.0,0.1,0.15578,0.12718484,0.17591232,0.209645003080368,0.15039,0.19858992,0.148,0.67403,0.33109626,0.02574
58,2.0,1.85,387,-0.9597197672355829,10.0,1.875,1.82732,1.9067254,1.9331214,1.8183231353759768,1.9,1.878783,1.854,1.5,1.3758841999999998,1.91917
59,4.0,1.0,824,-0.1564627490248774,5.5,0.95,0.80226,0.8289094,0.9957769,0.7820847630500793,0.91258,1.1431954,0.798,1.08062,0.6752366999999999,0.92586
60,2.0,0.5,806,0.7147415798839297,1.5,0.35,0.41763,0.5192837,0.25411895,0.2301515340805053,0.4319,0.5069195,0.37,0.5501,0.29791948,0.3141
61,3.0,1.8,923,-0.932922010481506,1.0,1.725,1.85356,1.6488119,1.591703,1.7534571886062622,1.884,1.493287,1.428,1.57071,1.5786182,1.51887
62,3.0,1.85,199,1.212924253909027,1.5,1.875,1.72614,1.6594964,1.6403475,1.796782374382019,1.8066,1.7338066,1.689,1.21066,1.5103096,1.70921
63,3.0,1.85,874,0.13259405317040926,10.0,1.875,1.80088,1.7899671,1.6826223,1.8201969861984253,1.75,1.711551,1.583,1.32899,1.4813402,1.53049
64,4.0,2.0,686,0.5015632215174073,1.5,1.725,1.78489,1.7218647,1.7946775,1.8467117547988887,1.8544,1.022532,1.831,1.08437,0.9052067,0.78848
65,2.0,0.7000000000000001,506,-0.5734876936902947,6.0,0.7,0.73562,0.7857871,0.690994,0.6719175577163696,0.7926,1.1720979,0.691,0.90223,1.3456872,0.73948
66,4.0,1.6,845,0.2689017996483347,10.0,1.525,1.55006,1.4989338,1.6005168,1.811458945274353,1.6018,1.0655524,1.373,1.23389,1.2630752,1.01647
67,4.0,1.9000000000000001,360,-0.9752171154529414,5.5,1.625,1.73096,1.5871361,1.611117,1.6170839071273804,1.585,0.8071132,0.648,0.86624,0.65981996,0.56026
68,3.0,1.7000000000000002,539,-1.7471144089352495,2.0,1.525,1.4423,1.5919868,1.4142637,1.5542457103729248,1.4969,1.3725399,1.405,1.42669,1.5231358,1.47625
69,0.0,0.1,680,-0.39006751992632427,6.0,1.0,0.77525,0.84300077,0.9296119,0.8732122182846069,1.0258,1.1609308,0.873,0.76228,1.4049388,0.90302
70,2.0,1.9500000000000002,970,0.21485882224538816,10.0,1.925,1.91674,1.9615879,2.0251377,1.846977949142456,1.9501,1.8449911,1.939,1.73646,1.6446887,1.96066
71,3.0,1.1,614,-1.2450440460656622,10.0,1.125,1.20134,1.3621379,1.1683046,1.3030470609664917,1.521,1.4138658,1.25,1.66765,1.282879,1.50292
72,4.0,0.5,182,-2.0419848700639784,1.5,0.65,0.67528,0.70799345,0.66598266,0.6774923205375671,0.69847,0.84489346,0.707,1.07347,0.6266838,0.82651
73,4.0,1.6500000000000001,37,-1.8365211857211476,6.0,1.525,1.0764,0.8651796,1.1164781,1.0079357624053955,0.26563,1.1828016,0.364,0.875,0.45607877,0.15564
74,4.0,0.35000000000000003,470,0.463799528098762,2.0,0.3,0.36454,0.5001175,0.28728905,0.2731023132801056,0.38482,0.7652953,0.401,0.57708,0.38720784,0.95822
75,3.0,1.6500000000000001,120,1.473270794981695,10.0,1.725,1.61518,1.7024556,1.4811324,1.5794122219085691,1.6796,1.4185842,1.455,1.18481,1.727037,1.67341
76,0.0,0.9000000000000001,172,0.24072184078255016,5.5,0.95,0.79826,0.8584015,0.9387115,0.7562407851219177,0.98164,0.80351746,1.042,1.1091,0.8333075999999999,0.99052
77,4.0,0.7500000000000001,669,-1.2684710903081198,2.0,0.75,0.73615,0.75266415,0.77211416,0.7157765030860901,0.84004,1.1242862,0.696,0.99024,1.2266451,0.99884
78,4.0,0.45,690,-0.7094122389052221,1.0,0.35,0.3745,0.56657255,0.4356834,0.5057657957077026,0.43377,0.7248492,0.105,0.74722,1.3347987,0.85152
79,4.0,0.55,801,0.5746059177251985,10.0,0.5,0.52674,0.5247499,0.6587864,0.4851231575012207,0.52624,1.0431546,0.43,0.69146,0.7678781,0.93899
80,0.0,0.25,910,0.5271514873144981,10.0,0.6,0.86316,0.9176957,0.90611076,1.019451141357422,1.1667,1.2902029,0.48,1.5302,0.8485771000000001,1.26334
81,2.0,0.4,757,-1.3136560842650669,1.5,0.35,0.3648,0.35753503,0.3769407,0.3187084794044494,0.30066,0.35739058,0.352,0.81404,0.3145741,0.22301
82,0.0,0.2,385,-0.3354436368022723,1.0,0.3,0.25866,0.30722612,0.3074212,0.2536706626415252,0.3319,0.39729375,0.311,0.33156,0.31141335,0.30853
83,1.0,1.0,536,0.337306389750396,2.0,0.95,0.88525,0.88800824,0.91813004,0.9622691869735718,0.82485,0.95556945,0.92,1.35494,0.82806236,1.10111
84,1.0,1.0,401,0.4050301795442831,5.5,0.95,0.87049,0.89745665,0.82077503,0.9143323302268982,0.94286,0.8725013,0.922,1.01079,0.6572234,0.89388
85,2.0,0.7500000000000001,507,2.099201668614417,10.0,0.75,0.86488,0.743804,0.8871374,0.7270160913467407,0.91217,0.9887275,0.549,0.79362,1.2279595,0.62965
86,3.0,1.55,882,2.856253348456381,10.0,1.475,1.51319,1.4632831,1.2656431,1.331964135169983,1.5678,1.4172935,1.213,1.0177,1.9107914,1.21754
87,2.0,1.3,393,0.5259091740632198,10.0,1.325,1.37895,1.3826393,1.3194026,1.32161545753479,1.2009,1.4219649,1.564,1.62692,0.9796147,1.37649
88,2.0,1.6,645,1.7589440378623578,2.0,1.575,1.56354,1.638581,1.5941607,1.7466518878936768,1.4632,1.529799,1.72,1.56117,1.611966,1.47559
89,2.0,1.05,495,0.935803275089173,1.5,1.075,0.94793,1.0880715,0.9916488,0.767041027545929,1.2817,1.2259485,0.297,1.27468,1.1156217,1.13009
90,0.0,0.8500000000000001,657,0.378252827242902,10.0,0.75,0.70419,0.6273069,0.55630696,0.5051805377006531,0.45092,0.7183667,0.72,0.45998,0.7335244000000001,0.89775
91,2.0,1.2000000000000002,89,-2.0518849625906546,10.0,1.225,1.21292,1.217693,1.3004506,1.3906227350234983,1.335,1.2685474,1.296,1.2351,1.2516466,1.14866
92,1.0,0.6500000000000001,418,-0.19313038662934026,2.0,0.4,0.48405,0.5034139,0.33219296,0.6058846712112427,0.6028,0.40387958,0.496,0.56827,0.19088566,0.44675
93,2.0,0.3,288,0.6390158166809846,10.0,0.5,0.45107,0.44063908,0.41427454,0.221403568983078,0.36694,0.59181917,0.37,0.37814,0.50137275,0.31947
94,0.0,0.2,775,-1.5518149860250965,5.5,0.15,0.23728,0.4026446,0.33219296,0.2569671273231506,0.61542,0.37838566,0.262,0.5,0.68196917,0.16687
95,0.0,0.8500000000000001,231,2.620992490302085,6.0,0.3,0.30944,0.46444362,0.3967606,0.3253045976161957,0.36648,0.42580807,0.335,0.29368,0.35435906,0.15707
96,0.0,1.0,903,-1.335073312987633,5.5,0.95,0.83446,0.83528274,0.78514063,0.8410764932632446,0.97766,0.74014854,0.343,1.06476,0.80642396,0.83848
97,2.0,1.7500000000000002,598,0.745229146974514,2.0,1.725,1.74987,1.8274946,1.8153208,1.8085181713104248,1.6859,1.7259907,1.806,1.66132,0.95490044,1.76348
98,3.0,1.0,942,0.13131463785528083,1.5,1.075,1.13152,1.231053,1.1922632,1.3012803792953491,0.99197,1.225579,1.138,1.09226,1.0330142,1.15104
99,2.0,0.55,24,-1.043078612540388,6.0,0.6,0.81306,0.7761511,0.7111274,0.625273585319519,0.79798,1.0405362,0.426,0.85999,0.77292407,0.34755
100,3.0,1.0,648,0.3007650658768348,1.0,1.075,1.30442,1.3890784,1.4530424,1.246084451675415,1.6046,1.3820975,0.426,1.08234,0.76254296,1.2502
101,2.0,1.5000000000000002,832,1.6226391766032866,6.0,1.475,1.50254,1.511561,1.3290468,1.4583852291107178,1.5454,1.4190623,1.472,1.30687,1.0350411,1.25462
102,2.0,0.5,867,0.019275389033375973,1.5,0.35,0.42569,0.42427212,0.31278104,0.2212257832288742,0.46401,0.42642713,0.348,0.48227,0.6243181,0.29146
103,4.0,1.5000000000000002,202,0.32198981678568606,10.0,1.525,1.60835,1.4850615,1.5426841,1.5784977674484253,1.5059,1.2424706,0.663,1.53634,1.7076819,1.18952
104,3.0,1.7500000000000002,53,1.8007936301252212,1.5,1.875,1.59111,1.5257204,1.5588089,1.5853774547576904,1.6767,1.3591882,1.697,1.36297,1.5476133,1.33629
105,4.0,0.15000000000000002,610,-1.8354533810750184,1.5,0.15,0.17142,0.2965184,0.17842615,0.2487839013338089,0.67511,0.5497807,0.154,0.24018,0.20684646,0.70706
106,3.0,1.9500000000000002,130,0.4486664020834246,6.0,1.625,1.56212,1.515752,1.4475589,1.405577301979065,1.5998,1.4066763,0.339,0.87465,1.5770224,1.58047
107,4.0,2.0,339,0.9990677802425155,1.5,1.925,1.75016,1.6646487,1.8462578,1.3733785152435305,1.8747,1.4157829,0.329,1.36692,1.0818788,0.92812
108,3.0,1.9500000000000002,88,-2.433018587421223,10.0,1.925,1.72965,1.7486867,1.5423278,1.552847146987915,1.7146,1.6310194,1.08,1.45152,1.3722128,1.71458
109,2.0,0.6500000000000001,628,-0.061924772628309345,1.5,0.55,0.59417,0.5847235,0.526815,0.4490733444690704,0.48623,0.51807415,0.407,0.45634,1.2947705,0.37453
110,1.0,0.05,304,-0.39029476850752765,1.5,0.1,0.24844,0.23696092,0.33219296,0.2632697224617004,0.78311,0.31352913,0.206,0.75,0.19577019,1.00184
111,3.0,1.35,800,1.0367296933828352,1.5,1.475,1.3618,1.4130101,1.4533224,1.5605849027633667,1.6326,1.5777342,1.213,1.51068,1.6656855,1.65408
112,4.0,0.5,550,-0.6933376941912929,6.0,0.35,0.42209,0.43817544,0.3136803,0.3563022315502167,0.37978,0.7853654,0.392,0.59607,0.5100519,0.99975
113,2.0,0.25,467,2.2581737507472472,1.5,0.15,0.24344,0.24345385,0.19018558,0.2037415653467178,0.48067,0.23637646,0.184,0.37788,0.63175064,0.1492
114,2.0,0.6000000000000001,450,0.4550067318652149,1.0,0.35,0.37348,0.5136628,0.40064415,0.2404959499835968,0.34759,0.4863264,0.352,0.66371,0.5641825,0.21601
115,4.0,0.3,266,-0.40521893199185843,5.5,0.25,0.2398,0.3624667,0.27009463,0.2961087822914123,0.25944,0.5351305,0.115,0.38957,0.43702117,0.61216
116,0.0,0.35000000000000003,191,0.11188809593214168,2.0,0.15,0.39129,0.58220774,0.33219296,0.3616854250431061,0.44577,0.3489269,0.324,0.5,0.40983704,0.18203
117,1.0,0.7500000000000001,981,0.571199311188249,5.5,0.85,0.82339,0.83547896,0.8152678,0.8097368478775024,0.5706,0.6582252,0.861,0.8974,0.7559064999999999,0.77742
118,4.0,0.15000000000000002,656,0.4993940730400206,6.0,0.15,0.14203,0.20742229,0.17396,0.2499435395002365,0.18386,0.47879523,0.225,0.27338,0.27093217,0.75179
119,1.0,0.4,767,-1.3417769178704892,10.0,0.55,0.61673,0.647005,0.33219296,0.5886344313621521,0.80977,0.5936341,0.625,0.7446,0.45521474,0.69344
120,4.0,1.0,615,-0.3022649121799859,6.0,0.6,0.81337,0.83202535,0.8835341,0.7742990255355835,1.0863,1.0599724,0.632,1.08887,0.86484873,0.97376
121,3.0,1.4000000000000001,852,0.586964755198028,10.0,1.325,1.40104,1.5935316,1.300868,1.4201648235321045,1.5768,1.4654831,1.308,1.21744,1.0263721,1.23704
122,2.0,0.15000000000000002,742,-0.35480306395350314,5.5,0.15,0.21677,0.22665915,0.16371402,0.2015626579523086,0.44761,0.3140157,0.091,0.45382,0.5364438,0.20144
123,3.0,1.4000000000000001,584,0.4353060117769579,5.5,1.725,1.6818,1.5146837,1.6459976,1.778716206550598,1.5205,1.6734918,1.629,1.92945,1.7068472,1.74497
124,2.0,0.8500000000000001,668,-1.2306116764182595,6.0,0.95,0.81492,0.8868887,0.8726183,0.78532874584198,0.86593,0.9391442,0.795,0.99463,0.23213895,1.02851
125,1.0,0.45,595,0.19277665026627713,1.5,0.5,0.46626,0.48235348,0.44780353,0.2896173298358917,1.0237,0.46820635,0.385,1.45949,0.80506074,1.06423
126,4.0,1.2500000000000002,949,0.7360933809948103,5.5,1.425,1.33163,1.2895579,1.3601509,1.2020761966705322,1.2195,1.087517,1.22,1.11109,0.70135903,0.89211
127,2.0,1.3,424,-0.5104082735796982,2.0,1.275,1.21796,1.3348061,1.2773864,1.2538907527923584,1.2193,1.288087,1.298,1.27817,1.2993793,1.28516
128,3.0,1.5000000000000002,762,0.7448384881047941,10.0,1.475,1.36949,1.7137873,1.5134352,1.56220805644989,1.6867,1.6352003,1.351,1.54907,1.3824849,1.64984
129,2.0,1.4500000000000002,919,-1.947402529594164,6.0,1.475,1.43194,1.4753028,1.427502,1.492838978767395,1.4587,1.4685533,1.545,1.59469,1.4507653,1.44785
130,4.0,1.3,403,-1.2725042602018453,1.0,1.475,1.25473,1.0800047,1.0645751,1.077466368675232,1.2073,1.2420437,0.936,1.07319,0.8927507,0.58043
131,2.0,1.0,79,1.1769129827439584,6.0,1.0,1.00607,1.0138102,0.8848187,0.8790008425712585,1.0679,0.94306946,0.324,0.82257,0.7431041,0.76269
132,0.0,0.5,84,-1.0666981477246993,5.5,0.9,0.55381,0.598834,0.7151949,0.3902603685855865,0.52189,0.8767462,0.775,0.51714,0.657209,0.78935
133,4.0,0.35000000000000003,164,1.6305279623217843,1.5,0.55,0.49391,0.54946023,0.48659766,0.4894108474254608,0.45478,0.91291946,0.569,0.99705,0.86577016,0.83778
134,4.0,1.7500000000000002,617,0.3275383702625061,2.0,1.825,1.71843,1.6786234,1.6640948,1.697116732597351,1.6365,1.0608919,1.571,1.11309,0.7038561,0.82474
135,3.0,1.9000000000000001,300,0.0379995883161298,2.0,1.825,1.79319,1.4476439,1.6082047,1.757267713546753,1.8446,1.751149,1.716,1.22556,1.5202091999999998,1.59695
136,2.0,1.5000000000000002,716,-0.8391600449041234,5.5,1.525,1.57709,1.5519794,1.5251037,1.347734451293945,1.3616,1.5492295,1.552,1.32974,0.7701798000000001,1.59991
137,3.0,1.55,271,-0.7634511564969132,10.0,1.375,1.40134,1.5927774,1.3622582,1.3077980279922483,1.6357,1.5072846,1.661,1.66474,1.2950891000000002,1.58517
138,2.0,0.6000000000000001,568,0.47878412020502126,5.5,0.6,0.68997,0.6465804,0.5650264,0.3607664406299591,0.60422,0.5593841,0.666,0.67203,1.7712306,0.48745
139,3.0,1.0,412,0.6423580720092396,1.5,1.125,1.26166,1.349496,1.3645386,1.1451224088668823,1.462,1.206033,1.175,1.31076,1.4700576,1.20807
140,2.0,0.55,138,0.622858818708705,10.0,0.55,0.78159,0.72260433,0.67150164,0.6805221438407898,0.63715,0.92127645,0.678,1.1711,1.1772794,0.46777
141,0.0,0.7000000000000001,589,0.047274299507717533,6.0,0.65,0.50002,0.52599305,0.7030504,0.4757003486156463,0.91729,0.40139228,0.482,1.51908,0.7987810000000001,1.11313
142,3.0,1.2500000000000002,177,0.6517536714935697,5.5,1.375,1.28349,1.3479576,1.4022236,1.310336947441101,1.0826,1.2900921,1.43,1.11071,1.1131654,1.16623
143,1.0,0.2,76,-1.704106692078423,6.0,0.3,0.44317,0.43389738,0.33219296,0.4581811428070068,0.054189,0.31010765,0.33,0.5,0.31636494,0.10136
144,4.0,1.6500000000000001,279,0.7152344935930227,10.0,1.625,1.67061,1.7127408,1.6165456,1.6875708103179932,1.598,0.85666895,1.396,1.13325,0.65200007,0.96192
145,4.0,0.55,887,2.0573895241497504,1.5,0.55,0.55381,0.6507802,0.51142216,0.3308737874031067,0.75358,0.80733204,0.466,0.80306,0.20585015,0.76504
146,1.0,0.15000000000000002,443,1.0161626375154325,5.5,0.1,0.1754,0.17577566,0.14597103,0.2213045358657837,0.18343,0.20228773,0.248,0.70292,0.5313343,0.01157
147,2.0,1.7500000000000002,186,-0.06628005321877767,1.0,1.225,1.01116,1.3094891,1.2351668,1.3235729932785034,1.5849,1.1770813,1.518,1.21515,0.9553336,1.08014
148,2.0,1.3,385,1.1327379266515512,1.0,1.325,1.19083,1.1520085,1.0034635,1.0995914936065674,0.90572,1.1759627,1.197,0.88117,0.72795665,1.11428
149,4.0,1.9500000000000002,955,0.654470180190986,6.0,1.925,1.89083,1.8867152,1.8761368,1.8454138040542605,1.6159,1.1823001,0.944,1.67318,0.92613536,1.0915
150,2.0,1.05,789,1.1326248538733075,1.5,0.95,0.85119,0.93995386,0.83380854,0.7196115851402283,0.8969,1.1259673,0.787,0.81638,0.76015794,1.02837
151,1.0,0.6500000000000001,381,-0.5431922876110201,1.5,0.65,0.75953,0.7130374,0.69926304,0.7266721725463867,0.77017,0.47413737,0.627,0.54881,0.6500023,0.88209
152,4.0,0.9500000000000001,994,1.433148081572905,10.0,0.95,0.76791,0.7521201,0.72053164,0.6921876072883606,0.95161,1.1469238,0.894,1.05414,0.81022036,0.9457
153,2.0,0.7500000000000001,750,-0.20441941569443509,1.5,0.7,0.6771,0.6645972,0.665138,0.5813619494438171,0.91541,0.9415443,0.711,0.72704,0.8916841,0.57423
154,4.0,1.9000000000000001,349,-0.5425943382685241,1.5,1.925,1.74907,1.7745968,1.8934144,1.455350041389465,1.8718,1.5063846,1.831,0.92308,0.13220602,0.65704
155,1.0,0.9500000000000001,618,-0.4034988798169792,1.5,0.85,0.79753,0.8345116,0.81628346,0.8433547616004944,0.72104,0.6332221,0.861,1.13208,0.564785,0.82688
