,model,alpha,length,diff_coef,loc_error,UPV-MAT,HNU,eduN,UCL,FCI,Erasmus MC,DecBayComp,DeepSPT,BIT,WUST ML B,QuBI,Anomalous Unicorns,TSA,TA-MSD
39,3.0,1.7500000000000002,291,-0.5226231890668748,2.0,1.659,1.6725131,1.59429,1.675,1.749002,1.6371315717697144,1.6301302,1.575666,1.4337,1.6519128,1.6373,1.763437032699585,1.41841,1.6071
40,2.0,1.85,476,0.8840574601366704,2.0,1.86,1.889385,1.79677,1.875,1.8185449,1.825074315071106,1.8596838,1.672083,1.7596,1.8262637,1.8259,1.8786723613739011,1.99269,1.89296
41,0.0,0.7500000000000001,201,-1.1385819876082526,2.0,0.559,0.59467894,0.54388,0.55,0.6695659,0.6671682596206665,0.62961125,0.555319,0.47366,0.5891069,0.65353,0.6049728989601135,0.52148,0.50182
42,2.0,1.2500000000000002,666,0.9028285813373281,10.0,1.358,1.3611879,1.33308,1.275,1.332796,1.1715517044067385,1.4254985,1.334288,1.4124,1.413949,1.2819,1.4768474102020264,1.28689,1.35433
43,0.0,0.8,70,-0.27104683191954376,1.0,0.799,0.79651636,0.7872,0.9,0.7519492,0.7168192267417908,0.70534426,0.734789,0.97741,0.6706542,0.21507,1.05,1.25,0.66686
44,0.0,0.4,331,0.6562892579736883,2.0,0.4,0.45584494,0.35967,0.55,0.63157916,0.5502862930297852,0.5828861,0.434304,0.5235,0.51097983,0.46398,0.7087297439575195,0.59144,0.92211
45,0.0,0.7000000000000001,909,-0.09740235248182207,2.0,0.289,0.32718194,0.34854,0.5,0.39870682,0.4766197204589844,0.7046811,0.527442,0.37727,0.6336105,0.38989,0.4592779576778412,0.63791,0.81656
46,4.0,0.15000000000000002,406,1.448880236868875,2.0,0.215,0.3026264,0.16681,0.1,0.2641862,0.2825868427753448,0.24517286,0.560885,0.15994,0.46258837,0.47709,0.5618012547492981,0.44574,0.80176
47,3.0,1.4000000000000001,834,0.647170821986962,2.0,1.326,1.3030722,1.25157,1.325,1.5186192,1.3276231288909912,1.4025502,1.319615,1.3638,1.3860939,1.4518,1.4691179990768433,1.22988,1.40842
48,1.0,0.6500000000000001,208,0.196565374494213,10.0,0.661,0.73823524,0.72876,0.55,0.66498613,0.7922171950340271,0.78460157,0.971163,1.4532,0.6575384,0.72531,1.05,1.49605,1.31035
49,3.0,1.9500000000000002,247,-1.2113780875313067,2.0,1.837,1.8075039,1.77225,1.875,1.7234204,1.7720476388931274,1.6627637999999998,1.607696,1.7246,1.7660944,1.6912,1.7550244331359863,1.70725,1.63777
50,4.0,0.55,100,1.4446180509011677,2.0,1.135,0.7807575,0.86344,0.75,0.9740031,0.8007722496986389,0.72870314,1.272168,0.96667,0.84137505,0.95603,1.059498310089111,0.78419,0.78287
51,3.0,1.2500000000000002,225,0.11496635559050865,1.0,1.668,1.6877323,1.64306,1.775,1.6272837,1.5568236112594604,1.6047375,1.50773,1.7673,1.6175792,1.6439,1.810086250305176,1.61218,1.47226
52,4.0,1.05,611,-1.0682172833813282,2.0,1.195,1.0670923,1.19029,1.125,1.3207774,1.2907291650772097,0.8820133,1.162717,1.4145,0.9642007,1.0702,1.3261224031448364,1.14958,0.89574
53,3.0,1.4000000000000001,557,1.0643849437850001,1.0,1.656,1.5344957,1.60964,1.475,1.4082437,1.279585599899292,1.2870805,1.265523,1.5722,1.2655108,1.4215,1.0,0.85443,1.16085
54,3.0,1.9500000000000002,185,-1.0261221137751548,2.0,1.891,1.8504905,1.85148,1.925,1.8499035,1.802944302558899,1.99,1.60868,1.8732,1.8645375,1.8492,1.835572600364685,1.70116,1.85395
55,3.0,1.1500000000000001,42,-0.5256335214201303,10.0,1.181,1.2568569,1.17703,1.075,1.2339591,1.1031773090362549,1.3708931999999998,1.27848,1.1666,1.0491544,1.4181,0.8549454212188721,0.97377,0.84914
56,2.0,0.9000000000000001,988,-0.371102177370205,10.0,0.825,0.7373786,0.78455,0.95,0.88678247,0.8225372433662415,0.7749026,0.817701,0.94482,0.83863425,1.0058,0.8604855537414551,0.73051,0.62424
57,0.0,0.8,180,-0.3645980126143126,2.0,1.375,1.1619279,1.22613,1.325,1.4492792,1.1692925691604614,1.422501,1.423273,1.3469,1.3097497,1.3664,1.464029312133789,1.29108,1.1925
58,1.0,0.15000000000000002,769,-0.48293579646445334,1.0,0.222,0.23341453,0.28179,0.1,0.2641862,0.2416936159133911,0.23034108,0.375811,0.19032,0.29814684,0.29393,1.05,0.5,0.01348
59,4.0,1.2500000000000002,399,0.7964039546392978,1.0,1.714,1.5238785,1.58399,1.575,1.7610824,1.445333480834961,1.408961,1.344777,0.92254,0.8761778,1.2788,1.7944077253341677,0.64665,0.5455
60,1.0,0.8500000000000001,716,0.6814207011038246,2.0,0.945,0.9492169,0.89957,0.95,0.8274907,0.9301849603652954,0.82158875,0.572364,0.48869,0.6601877,0.6607,0.8968998789787292,1.01471,0.96828
61,3.0,1.7500000000000002,431,1.2135035871753743,1.0,1.604,1.62362,1.53855,1.375,1.5255692,1.5717617273330688,1.4417789,1.353504,1.5885,1.3921194,1.4853,1.6870368719100952,1.52261,1.24961
62,1.0,0.3,29,0.804559721977461,2.0,0.508,0.56566876,0.60881,0.45,0.56574976,0.4652148187160492,0.49823838,0.87321,0.71067,0.5933157,1.122,0.5425254106521606,0.70019,1.12616
63,2.0,0.35000000000000003,72,0.6229880190417878,1.0,0.223,0.34899077,0.47305,0.2,0.56808233,0.2835209965705871,0.7340618,0.579901,0.25814,0.71193063,0.19026,0.4562885165214538,0.74552,0.06589
64,0.0,0.55,647,0.47684968727555727,10.0,0.638,0.6329029,0.67569,0.45,0.54608923,0.4939440786838531,0.6151495,0.547482,1.4104,0.5480958,0.55158,1.05,0.49168,0.5552
65,3.0,1.9000000000000001,203,-0.30345520613998495,2.0,1.82,1.8194287,1.80139,1.875,1.8285155,1.778300642967224,1.7445288,1.60519,1.7888,1.7839124,1.8119,1.816628217697144,1.71161,1.73895
66,1.0,0.7000000000000001,183,0.8067202577964274,2.0,0.564,0.5292145,0.58085,0.65,0.6620499,0.666663646697998,0.54131925,0.594061,0.13448,0.5046389,0.57817,1.05,0.52903,0.77405
67,2.0,1.35,946,-0.11219549066994128,10.0,1.278,1.3145688,1.3021,1.275,1.4190624,1.3526842594146729,1.4542346000000002,1.171951,1.1714,1.2482996,1.3045,1.0,1.01009,1.05725
68,1.0,1.0,577,-1.144571862198894,2.0,0.878,0.87538934,0.8528,0.9,0.8961648,0.8746404647827148,0.78879154,0.787494,0.93583,0.62825453,0.72647,0.8818232417106628,1.08556,0.78245
69,2.0,0.6000000000000001,779,0.7720816677367583,2.0,0.52,0.6082959,0.57659,0.5,0.8825009,0.5406308770179749,0.85354316,1.192132,0.75294,1.14315,0.69269,1.1055049896240234,0.70841,0.64201
70,3.0,1.1500000000000001,661,-0.6803195447742404,2.0,1.213,1.2244695,1.22203,1.275,1.3315306,1.1973092555999756,1.2985357,1.288857,1.2522,1.2451353,1.3448,1.4438374042510986,1.21166,1.25687
71,4.0,1.4000000000000001,578,-0.8708716359348595,10.0,1.434,1.3833069,1.40294,1.325,1.576895,1.5008385181427002,1.4226524,1.286167,1.3763,1.1290666,1.0783,1.0,1.16524,0.85543
72,2.0,0.7000000000000001,174,0.39713813445733176,2.0,0.697,0.65682334,0.56669,0.55,0.59172165,0.5199785828590393,0.6036909,0.77929,0.68153,1.0148085,0.75361,1.05,0.8183,0.34541
73,2.0,0.3,786,0.9782305409372041,10.0,0.329,0.40745842,0.34792,0.35,0.42967147,0.340752363204956,0.48484486,0.446404,0.42977,0.2865919,0.66522,0.5059065222740173,0.7181,0.30406
74,3.0,1.3,601,0.041240458079952295,1.0,1.462,1.3254504,1.4264,1.325,1.5680784,1.2966684103012085,1.3870273000000002,1.371858,1.3913,1.5060198,1.4718,1.0,1.5175,1.37442
75,4.0,1.7500000000000002,465,-2.0033286120920617,2.0,1.56,1.5852135,1.77509,1.625,1.5697094,1.74804949760437,1.1811417,1.448495,1.6067,1.1212777,0.93399,1.6122106313705444,1.76237,0.98369
76,3.0,1.7000000000000002,581,-0.38169841531072635,2.0,1.665,1.5736985,1.57427,1.475,1.5901589,1.5182626247406006,1.4413588,1.303501,1.5923,1.4652914,1.5112,1.6081112623214722,1.34379,1.21368
77,0.0,0.6500000000000001,876,-0.2127593825639935,1.0,0.761,0.8335798,0.8232,0.95,1.004781,1.4460347890853882,0.8143655,1.41211,0.36701,1.1774148,0.82514,0.8671060800552368,0.99023,0.79503
78,1.0,0.5,792,1.2585597109131186,2.0,0.524,0.49826604,0.47847,0.45,0.5616691,0.5120718479156494,0.5959482,0.496258,0.64149,0.48707837,0.49784,0.497804582118988,1.29903,1.28665
79,4.0,0.55,216,-0.9880300892866793,2.0,0.36,0.52016693,0.5709,0.5,0.67608273,0.5662856698036194,0.50122106,0.824876,0.47444,1.0053993,1.0523,0.728728175163269,0.88472,0.83533
80,2.0,0.9500000000000001,102,-1.9683782780684826,2.0,1.156,0.94291294,1.14,1.075,1.1722786,0.9618443846702576,0.9927584,1.322589,0.93932,1.0254152,1.1243,1.0,1.3981,0.60323
81,4.0,0.8500000000000001,328,-1.0045496753916783,1.0,0.954,0.87589407,0.9017,1.125,1.1355262,0.7812196016311646,0.76606345,1.095912,1.045,0.9316897,1.0889,1.0,1.0744,0.76514
82,1.0,0.2,635,-0.6730548212795237,2.0,0.208,0.25323388,0.28039,0.25,0.2641862,0.2918392419815063,0.2731849,0.441161,0.35044,0.3524868,0.25387,0.330913782119751,0.47209,0.82832
83,4.0,1.8,237,0.07623190084232655,2.0,1.641,1.399454,1.66255,1.175,1.6019065,1.4923179149627686,1.0584956,1.344058,1.516,1.0685985,1.0115,1.504167079925537,1.2537,0.84115
84,2.0,1.4000000000000001,561,-0.7068230340081405,2.0,1.22,1.3046421,1.30856,1.275,1.395045,1.2569464445114136,1.4547883,1.439375,1.185,1.2389432,1.2744,1.5928529500961304,1.29947,1.30841
85,3.0,1.55,463,-0.4303661947402941,2.0,1.304,1.2592728,1.28754,1.275,1.320611,1.3727777004241943,1.3876632,1.420154,1.1831,1.3336836,1.3828,1.0,1.68725,1.50165
86,4.0,0.7000000000000001,212,0.8895430939203837,10.0,0.821,0.7741644,0.74298,0.75,0.7961473,0.6963446140289307,0.73660517,0.963813,0.89926,0.9219315,1.0061,0.965045928955078,0.68154,0.72041
87,4.0,0.4,134,1.1158767907953933,1.0,0.596,0.7031528,0.45489,0.5,0.6206795,0.6881035566329956,0.41637772,1.433635,0.45943,0.7454394,1.112,1.0598970651626587,1.10717,0.7862
88,4.0,0.2,998,-0.17794230444213296,10.0,0.289,0.36260933,0.14616,0.2,0.2641862,0.323658138513565,0.31681794,0.417987,0.2256,0.5713438,0.54938,0.1117787957191467,0.32976,0.90866
89,2.0,0.7000000000000001,234,0.15813351506740064,10.0,0.616,0.786346,0.75914,0.55,0.8153092,0.8234902620315552,0.71791226,0.77258,1.0031,0.9179659,0.79575,1.222133994102478,1.17242,0.55856
90,2.0,1.4500000000000002,532,-0.49102117865246364,2.0,1.393,1.5449644,1.52559,1.475,1.4844105,1.2695231437683103,1.5302663,1.544851,1.5728,1.4184849,1.4263,1.7025725841522217,1.47184,1.35934
91,1.0,0.05,301,1.0302380532271345,2.0,0.141,0.17583135,0.18444,0.1,0.21175188,0.2193073630332946,0.19406718,0.349711,0.18953,0.1619677,0.068877,0.3468437194824219,0.77548,0.0076
92,1.0,0.9000000000000001,788,0.6700071443930762,10.0,0.682,0.66829675,0.68858,0.65,0.7507379,0.6465982794761658,0.6229306,0.53955,0.42171,0.42778045,0.49026,0.713086724281311,0.39946,0.5585
93,2.0,1.9500000000000002,349,-0.6621562621490653,1.0,1.739,1.7850093,1.82418,1.875,1.6554133,1.6420395374298096,1.6100781000000002,1.612539,1.7477,1.6211035,1.6945,1.8342251777648928,1.33153,1.54603
94,1.0,0.5,119,1.6354664142112174,2.0,0.681,0.6758046,0.60935,0.55,0.7165447,0.6532583236694336,0.66304183,0.630295,0.98168,0.5621165,0.74703,0.5988785028457642,1.10806,0.98498
95,1.0,0.7500000000000001,492,-0.016020003760529502,1.0,0.367,0.41646016,0.39783,0.3,0.4233327,0.2924104630947113,0.44842422,0.406902,0.64593,0.32807428,0.41909,0.4202883243560791,0.95211,0.7841
96,4.0,1.1,400,0.5526398040778173,2.0,1.094,1.3258721,1.38097,1.175,1.3447292,1.3989406824111938,1.1118745,1.371468,0.84943,1.007689,0.98833,1.5641082525253296,1.19455,0.86085
97,2.0,0.7500000000000001,316,0.48668950449336124,10.0,1.102,0.76314443,0.75191,0.75,1.0606084,0.8339180946350098,0.9959031,1.014268,0.80591,0.8970104,0.94425,1.2331280708312988,0.83716,0.59552
98,0.0,0.8,619,0.92311827081494,10.0,1.034,0.90467703,0.86534,1.025,1.1135844,0.8377897143363953,1.099178,1.194646,0.95043,1.2421812,1.1241,1.0,1.17965,1.08817
99,3.0,2.0,712,-1.2045223499299782,10.0,1.981,1.9861939,1.94696,1.925,1.9893789,2.0,1.9430959,1.667063,1.95,1.9506559,1.9878,1.0,1.27523,2.0
100,4.0,0.1,557,-1.2333003475145452,1.0,0.088,0.19214326,0.10338,0.4,0.35623127,0.3047953248023987,0.4625281,0.399601,0.13729,0.41700453,0.48416,0.5523180961608887,0.35584,0.85978
101,0.0,0.1,897,-1.0308916519397235,1.0,0.992,0.8127649,0.99117,1.0,1.0111821,0.8306530714035034,0.8072289,0.784602,1.0995,1.129668,1.0432,1.0,1.03778,0.76823
102,4.0,1.7500000000000002,846,0.2355821977346805,10.0,1.716,1.7053559,1.73436,1.725,1.7274234,1.7108105421066284,1.7237067,1.545618,1.0759,1.3023794,1.0594,1.782013773918152,1.28429,0.97602
103,2.0,1.35,74,-1.211574935235371,2.0,1.134,1.038167,1.07633,1.1,1.1713681,0.9834769368171692,0.96831965,1.517636,1.1738,0.78025156,1.1112,1.1795525550842283,1.84907,1.01609
104,2.0,1.85,496,1.8175545393113066,1.0,1.868,1.7792777,1.85397,1.725,1.7617978,1.5305116176605225,1.7486625,1.629615,1.736,1.6444528,1.7745,1.7967294454574585,1.82242,1.67055
105,2.0,1.8,207,0.2786960410828224,10.0,1.89,1.929365,1.8123,1.875,1.8798976,1.8055334091186523,1.8606575,1.662219,1.8915,1.8844614,1.9283,1.8682050704956052,1.47929,1.93173
106,4.0,2.0,311,-1.279325599033474,1.0,1.779,1.6792574,1.02861,1.925,1.8135521,0.8752703666687012,1.71984,0.946028,0.91763,1.3659737,0.82179,1.7111895084381104,0.78465,0.49035
107,2.0,1.6,905,-1.8175867508815067,2.0,1.674,1.6141534,1.53051,1.525,1.6357056,1.5579432249069214,1.656997,1.514817,1.5729,1.42868,1.518,1.6653178930282593,1.49735,1.4961
108,4.0,0.2,178,-0.0717163982320951,10.0,0.297,0.27168977,0.20728,0.15,0.36454725,0.2819366753101349,0.28988403,0.479663,0.33282,0.57038426,0.45447,0.732535719871521,0.30946,0.69505
109,3.0,1.1500000000000001,849,0.7632251829569308,1.0,1.326,1.3120623,1.32745,1.225,1.4350967,1.3018261194229126,1.3402297,1.283049,1.3023,1.3614672,1.3481,1.3488677740097046,1.39224,1.30773
110,1.0,0.1,823,0.13553980522006193,2.0,0.24,0.25725806,0.40297,0.25,0.2641862,0.2248280793428421,0.4074105,0.405927,0.20712,0.3923865,0.15458,1.05,1.16403,1.07246
111,1.0,0.7500000000000001,394,0.6879608436646317,10.0,0.276,0.44137558,0.45961,0.25,0.2641862,0.4546796679496765,0.47814333,0.417221,0.67775,0.34998566,0.95692,0.4441820979118347,0.41696,0.35364
112,4.0,1.6,196,0.13634437250321094,2.0,1.618,1.5310547,1.58742,1.625,1.5270987,1.5656049251556396,1.0443051,1.281546,1.641,1.1115333,0.88658,1.0,1.17071,0.77389
113,4.0,0.2,759,0.012475363977555694,1.0,0.278,0.32355788,0.29879,0.3,0.3532286,0.5499349236488342,0.261294,0.414816,0.95779,0.7704793,0.80725,0.3131213188171386,0.56212,0.81895
114,3.0,1.3,561,1.6504463146404222,10.0,1.618,1.4965656,1.45275,1.475,1.5092545,1.4365752935409546,1.5489756,1.46979,1.5117,1.6173446,1.4656,1.6271642446517944,1.44354,1.41826
115,0.0,1.0,486,-0.9644215095447067,1.0,0.954,1.0211008,0.97224,0.95,0.9996235,0.9188511371612548,0.9317219,0.988279,0.99361,1.158149,0.95106,1.05,1.27175,0.95875
116,2.0,1.55,373,-0.19047102244113293,2.0,1.441,1.5471222,1.37918,1.425,1.5726407,1.416681170463562,1.5677283000000002,1.54262,1.1876,1.4232875,1.4608,1.680994749069214,1.87955,1.41272
117,2.0,0.4,559,2.3277695678157597,2.0,0.327,0.38990122,0.40198,0.35,0.46281436,0.3464682996273041,0.4139309,0.548803,0.55277,0.37336338,0.58723,0.6735906600952148,0.33084,0.26691
118,4.0,0.7000000000000001,599,-1.9055507320213967,10.0,0.545,0.6079986,0.53802,0.55,0.6526165,0.4077640175819397,0.5748199,0.481339,0.66683,1.2052035,1.0436,0.703565239906311,0.55922,1.13319
119,3.0,2.0,432,-0.7967705621661407,10.0,1.99,1.9888742,1.95578,1.925,2.0489464,1.82356595993042,1.7679691000000002,1.649039,1.9087,1.8716218,1.9399,1.9030616283416748,1.63034,1.82777
120,2.0,0.5,546,-1.8294408289524906,2.0,0.619,0.5723781,0.6049,0.6,0.64771485,0.6569327116012573,0.6383555999999999,0.548695,1.4942,0.59943724,0.89599,1.05,0.61161,0.35344
121,1.0,1.0,89,-0.8739651452361409,1.0,0.584,0.46748605,0.53306,0.65,0.69030124,0.3961654901504516,0.5881674,0.593775,0.60665,0.6152902,0.69593,0.7106398344039917,1.36286,0.89708
122,0.0,0.9000000000000001,756,-0.7870142928482151,2.0,1.081,0.99210066,0.90198,1.325,1.1383307,0.6520285606384277,0.93254155,0.720402,0.97883,1.0623261,1.1789,1.05,1.15739,1.02125
123,4.0,1.5000000000000002,820,0.8459522393677052,2.0,1.642,1.6670994,1.63,1.525,1.707894,1.7992767095565796,1.603792,1.428245,1.7728,1.201964,1.0186,1.6597857475280762,1.4011,1.02183
124,2.0,0.45,610,0.37013364717743563,1.0,0.215,0.28895748,0.29009,0.3,0.23409677,0.2742542028427124,0.3419725999999999,0.491515,0.24851,0.2878523,0.64537,0.3838857114315033,0.63524,0.20831
125,2.0,0.6000000000000001,22,-0.4177366683726686,2.0,0.852,1.0335095,0.94691,0.6,1.1290102,0.7931605577468872,0.92888427,1.515984,0.85728,1.2090524,0.60764,0.7646130323410034,0.69608,0.90541
126,2.0,1.6,358,1.2150260887001694,2.0,1.601,1.5328932,1.5594,1.525,1.501483,1.3878298997879028,1.5884163,1.564333,1.4999,1.4267458,1.4502,1.0,1.73936,1.40153
127,3.0,1.7000000000000002,417,2.027210749791981,2.0,1.91,1.88043,1.90665,1.925,1.880557,1.8373284339904783,1.8003232,1.628826,1.8147,1.8262637,1.8466,1.0,1.72864,1.84871
128,2.0,0.6500000000000001,29,0.1542107823831162,1.0,0.588,0.8205174,0.79689,0.5,0.8627038,0.7328125834465027,0.7006502,0.993172,0.68013,1.1087884,0.91185,0.4407679438591003,0.64546,0.19739
