,model1,model2,alpha1,alpha2,change_point,eduN_cp,eduN_m1,eduN_a1,eduN_m2,eduN_a2,BIT_cp,BIT_m1,BIT_a1,BIT_m2,BIT_a2
138,4.0,4.0,1.5,1.1,63.0,59.26582,4.0,1.00617,4.0,1.06829,63.0,4.0,0.9744,2.0,1.0053
139,4.0,0.0,0.35,0.15,87.0,89.08836,4.0,0.5297,0.0,0.96096,87.0,4.0,0.43843000000000004,1.0,0.98198
140,0.0,0.0,0.55,0.2,91.0,116.59945,0.0,0.7796,1.0,0.6065,164.0,3.0,0.65381,0.0,0.39025
141,1.0,3.0,0.7,1.4,44.0,41.82782,1.0,0.61014,3.0,1.43212,44.0,1.0,0.38251,2.0,1.5304
142,0.0,4.0,0.65,0.8,44.0,44.48706,1.0,0.53743,4.0,0.69215,44.0,1.0,0.47748,1.0,0.90961
143,2.0,3.0,0.95,1.0,61.0,68.15156999999999,2.0,0.68633,3.0,1.5037399999999999,66.0,3.0,1.2876,3.0,1.2876
144,0.0,0.0,0.1,0.55,51.0,40.301120000000004,0.0,1.01548,0.0,0.58862,51.0,4.0,1.1353,2.0,1.1005
145,1.0,3.0,0.45,1.15,139.0,135.43656000000001,1.0,0.35649000000000003,2.0,1.23411,139.0,0.0,0.12682000000000002,2.0,1.5598
146,2.0,2.0,0.6,0.95,40.0,82.70063,2.0,0.77366,4.0,0.8231799999999999,40.0,2.0,0.76066,2.0,1.057
147,4.0,0.0,1.05,0.05,73.0,73.47476999999999,4.0,1.0664,4.0,1.04453,73.0,3.0,0.73705,3.0,0.73705
148,3.0,3.0,1.95,1.3,165.0,132.32242,3.0,1.7650700000000001,2.0,1.06495,165.0,2.0,1.8729,2.0,1.6551
149,2.0,0.0,1.2,0.5,149.0,149.24584,4.0,1.03352,1.0,0.40946,149.0,2.0,1.1082,0.0,0.22943000000000002
150,1.0,0.0,0.05,0.35,151.0,153.84167,1.0,0.23554,0.0,0.71253,151.0,0.0,0.16537000000000002,1.0,0.79524
151,4.0,0.0,1.8,0.95,14.0,64.18264,4.0,0.8785299999999999,4.0,0.97556,14.0,1.0,0.74695,2.0,0.92015
152,4.0,0.0,1.9,0.55,37.0,37.63067,4.0,1.03391,2.0,0.70318,37.0,4.0,1.2847,4.0,0.99245
153,4.0,0.0,0.65,0.4,158.0,162.71389,4.0,0.5365300000000001,0.0,0.50884,158.0,4.0,0.58913,4.0,0.8410200000000001
154,2.0,4.0,1.7,0.1,143.0,154.28103000000002,2.0,1.50443,2.0,0.66886,143.0,2.0,1.6444,1.0,0.44871000000000005
155,2.0,1.0,1.3,0.95,120.0,134.78824,2.0,1.2085,1.0,0.8259,120.0,2.0,1.4619,1.0,0.8519700000000001
156,1.0,1.0,0.8,1.0,190.0,137.68418,1.0,0.68811,1.0,0.6237,191.0,0.0,0.44664,0.0,0.5738800000000001
157,4.0,4.0,1.35,1.2,115.0,112.88882,4.0,0.9938799999999999,4.0,0.8416399999999999,115.0,4.0,1.1686,4.0,1.0792
158,2.0,0.0,1.15,0.1,52.0,33.47146,0.0,0.92212,0.0,0.92451,52.0,0.0,0.84501,2.0,0.98688
159,0.0,4.0,0.1,1.5,60.0,49.74409,0.0,0.37945999999999996,4.0,1.1015,60.0,0.0,0.41002,4.0,1.228
160,3.0,4.0,1.35,1.7,195.0,112.4943,2.0,1.16011,2.0,1.24556,195.0,2.0,1.469,1.0,0.81383
161,2.0,4.0,1.8,0.4,156.0,153.79277,2.0,1.47738,4.0,0.7610600000000001,156.0,2.0,1.8796,2.0,0.6884600000000001
162,3.0,0.0,1.55,0.3,141.0,130.6015,3.0,1.7237900000000002,2.0,0.80967,141.0,3.0,1.7061,1.0,0.9486700000000001
163,1.0,2.0,1.0,1.0,69.0,65.95938000000001,1.0,0.82685,4.0,0.77966,69.0,3.0,0.9261799999999999,4.0,0.9005799999999999
164,4.0,4.0,1.4,1.3,94.0,96.2132,4.0,0.99254,4.0,0.87221,93.0,2.0,0.9595799999999999,2.0,1.0214
165,0.0,3.0,0.05,1.35,5.0,65.2193,3.0,1.3604100000000001,2.0,1.26919,3.0,3.0,1.3055,3.0,1.3055
166,3.0,0.0,1.35,0.8,95.0,94.13502,2.0,1.19125,0.0,0.62916,95.0,3.0,1.5213,4.0,0.48754
167,0.0,4.0,0.8,1.65,30.0,29.932570000000002,0.0,0.73531,4.0,1.4010200000000002,30.0,4.0,0.7679600000000001,4.0,1.3575
168,2.0,1.0,0.05,0.45,17.0,17.766820000000003,1.0,0.59273,1.0,0.37709000000000004,16.0,2.0,0.29628000000000004,2.0,0.064476
169,1.0,0.0,0.5,0.35,62.0,56.0942,0.0,0.42791,1.0,0.33929000000000004,62.0,0.0,0.5242899999999999,0.0,0.17143
170,0.0,4.0,0.9,0.1,13.0,20.485770000000002,0.0,0.7117899999999999,4.0,0.5496300000000001,13.0,2.0,0.91504,0.0,0.50563
171,0.0,0.0,0.55,0.3,90.0,108.44016,0.0,0.78554,0.0,0.9056299999999999,90.0,4.0,0.65966,4.0,1.1288
172,2.0,3.0,1.3,1.15,103.0,68.4608,2.0,1.3892,2.0,1.02173,101.0,2.0,1.5464,1.0,0.65863
173,4.0,0.0,0.1,0.35,10.0,44.2522,0.0,0.71363,4.0,0.7388,42.0,0.0,0.62908,0.0,0.44425
174,4.0,1.0,1.75,0.45,156.0,157.27486000000002,4.0,1.6859,1.0,0.60125,156.0,4.0,1.6347,1.0,0.54979
175,1.0,0.0,0.85,0.65,69.0,70.96236999999999,1.0,0.53491,4.0,0.88508,69.0,0.0,0.37316,2.0,0.99166
176,3.0,0.0,1.35,0.6,159.0,169.32703,2.0,1.48624,0.0,1.1512799999999999,160.0,3.0,1.5115,4.0,1.7389
177,2.0,2.0,0.7,0.35,40.0,22.713929999999998,4.0,0.68972,2.0,0.55342,40.0,1.0,0.7630100000000001,2.0,0.4066
178,3.0,3.0,1.85,1.2,110.0,93.54703,3.0,1.6962400000000002,4.0,0.9648100000000001,110.0,3.0,1.5663,2.0,1.0601
179,1.0,0.0,0.1,0.6,104.0,103.63258,1.0,0.30781,0.0,0.7201,104.0,3.0,0.72639,3.0,0.72639
180,2.0,1.0,1.75,0.45,64.0,62.22667,2.0,1.548,1.0,0.3278,64.0,2.0,1.8029,1.0,0.15456
181,0.0,3.0,0.35,1.6,197.0,40.14284,0.0,0.8751200000000001,0.0,0.5866,197.0,3.0,0.97285,4.0,0.78685
182,3.0,4.0,1.2,0.45,133.0,133.55785,2.0,1.01928,4.0,0.8446299999999999,133.0,2.0,1.4142,2.0,0.93535
183,2.0,3.0,0.35,1.25,107.0,111.16814,2.0,0.54515,3.0,1.36776,107.0,3.0,1.1869,3.0,1.1869
184,3.0,0.0,1.7,1.0,165.0,166.12278999999998,2.0,1.5231299999999999,1.0,0.49218,165.0,3.0,1.5406,1.0,0.24072
185,4.0,3.0,0.35,1.75,135.0,130.74455,4.0,0.6463300000000001,3.0,1.59155,50.0,4.0,0.60012,2.0,1.6465
186,0.0,0.0,0.35,0.5,104.0,126.51,0.0,0.7378399999999999,0.0,0.73492,104.0,4.0,0.9593799999999999,1.0,0.94616
187,0.0,3.0,0.6,1.5,4.0,60.26022,2.0,1.0850799999999998,2.0,1.3523399999999999,4.0,3.0,1.449,3.0,1.449
188,3.0,4.0,1.85,0.3,37.0,36.92094,3.0,1.45719,4.0,0.55474,37.0,2.0,1.6004,4.0,0.662
189,1.0,0.0,0.5,0.4,131.0,129.93431,1.0,0.46505,4.0,0.73047,131.0,3.0,0.044052,2.0,0.9381799999999999
190,3.0,1.0,1.05,0.6,91.0,69.81281,3.0,1.29254,1.0,0.65964,158.0,3.0,1.2988,4.0,1.8555
191,2.0,1.0,1.05,0.4,146.0,146.79736,4.0,1.02664,1.0,0.42168,146.0,1.0,0.9555899999999999,1.0,0.20234000000000002
192,2.0,4.0,0.95,1.8,130.0,138.06118,2.0,0.7683399999999999,0.0,0.95826,130.0,2.0,0.8244799999999999,0.0,0.35109
193,4.0,2.0,0.45,0.35,153.0,103.23017,4.0,0.66889,2.0,0.58814,153.0,4.0,0.62263,1.0,0.56405
