,model,alpha,length,diff_coef,loc_error,UCL,UCL_a,UCL_c,UCL_f,UCL_l,UCL_s,eduN,eduN_a,eduN_c,eduN_f,eduN_l,eduN_s,UPV-MAT,UPV-MAT_a,UPV-MAT_c,UPV-MAT_f,UPV-MAT_l,UPV-MAT_s,Erasmus MC,Erasmus MC_a,Erasmus MC_c,Erasmus MC_f,Erasmus MC_l,Erasmus MC_s,WUST ML A,WUST ML A_a,WUST ML A_c,WUST ML A_f,WUST ML A_l,WUST ML A_s,WUST ML B,WUST ML B_a,WUST ML B_c,WUST ML B_f,WUST ML B_l,WUST ML B_s,BIT,BIT_a,BIT_c,BIT_f,BIT_l,BIT_s
23,2.0,0.7000000000000001,117,1.366637264174511,4.67,2,0.0304,0.0,0.8735,0.0,0.0961,2,0.17895,0.00303,0.44991,0.00184,0.36628,2,0.06,0.0,0.56,0.0,0.38,2,0.0084636937826871,0.0009927414357662,0.6061372756958008,0.0009770615724846,0.3834291994571686,4,0,0,0,0,1,2,0.030769907207625603,0.00032312627848004384,0.9045752991475656,0.0001440133597681849,0.06418765400656076,1,0.0,1.0,0.0,0.0,0.0
24,0.0,1.0,252,-1.1186120698989492,1.33,0,1.0,0.0,0.0,0.0,0.0,0,0.8874,0.00614,0.00713,4e-05,0.09929,0,0.9,0.0,0.02,0.0,0.08,0,0.958322525024414,0.0022356321569532,0.0055938209407031,0.0002216881694039,0.0336263291537761,0,1,0,0,0,0,4,0.3116711812237528,0.003428873658202472,0.009749176125580015,0.0002212234865390569,0.6749295455059257,4,0.0,0.0,0.0,0.0,1.0
25,3.0,1.6,732,-0.17709751463621182,4.33,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,7.774947152938694e-05,0.0001095660409191,0.0008911535260267,0.9988459348678588,7.56215158617124e-05,3,0,0,0,1,0,3,2.5077990358338232e-05,2.5961766915159456e-06,0.014900273997647227,0.9850302938181509,4.175801715230338e-05,3,0.0,0.0,0.0,1.0,0.0
26,2.0,1.1500000000000001,449,-1.0303723783579994,10.0,2,0.0,0.0,0.9899,0.0,0.0101,2,0.0511,6e-05,0.90376,2e-05,0.04506,2,0.0,0.0,0.96,0.0,0.04,2,0.0006357178790494,0.0013565744739025,0.9847713112831116,0.0057324087247252,0.0075039002113044,4,0,0,0,0,1,4,0.02264844022570548,0.00029957189364432564,0.28623138176454044,0.03338805403197474,0.6574325520841351,2,0.0,0.0,0.98438,0.0,0.015625
27,4.0,0.45,286,-0.43614608410326355,4.33,4,0.0,0.0,0.0,0.0,1.0,4,0.02406,0.0,6e-05,1e-05,0.97587,4,0.0,0.0,0.0,0.0,1.0,4,0.0036406789440661,0.00017925168504,0.0045591872185468,0.0004160590178798,0.991204798221588,4,0,0,0,0,1,0,0.6354643474553889,0.0017279798186617948,0.006837275177960231,0.0015228956276110049,0.354447501920378,4,0.0,0.0,0.0,0.0,1.0
28,1.0,0.6000000000000001,561,0.17280286418340385,4.0,1,0.0124,0.9876,0.0,0.0,0.0,1,0.00011,0.99433,0.00533,0.00023,1e-05,1,0.03,0.91,0.06,0.0,0.0,1,0.0039492710493505,0.9638605117797852,0.0296307001262903,0.0013377709547057,0.0012217108160257,1,0,1,0,0,0,1,0.00023050700382014027,0.9855612748879363,0.01415044301276956,5.76006120179547e-06,5.2015034272497366e-05,0,0.55729,0.44271,0.0,0.0,0.0
29,2.0,1.6,477,1.171772900106755,7.33,2,0.0,0.0,1.0,0.0,0.0,2,2e-05,0.0,0.99994,2e-05,2e-05,2,0.0,0.0,0.93,0.07,0.0,2,0.0008098252583295,0.0020813550800085,0.9906501770019532,0.0025511023122817,0.0039074961096048,2,0,0,1,0,0,3,0.0001865569035694245,9.452310648012012e-06,0.0395918731083254,0.9537369704300883,0.006475147247368668,2,0.0,0.0,1.0,0.0,0.0
30,1.0,0.8500000000000001,225,-0.9397557672983533,1.67,1,0.0133,0.9867,0.0,0.0,0.0,1,0.27284,0.72714,0.0,2e-05,0.0,1,0.01,0.99,0.0,0.0,0.0,1,0.0492981486022472,0.9492979645729064,0.0006741072866134,0.0003111223923042,0.0004186561563983,1,0,1,0,0,0,1,0.28024251527045246,0.7161692858365977,6.071113523746897e-05,3.6683965987780286e-05,0.003490803791724519,3,0.0,0.0,0.0,1.0,0.0
31,2.0,1.9500000000000002,723,-0.8923973982955081,1.67,2,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.99999,0.0,0.0,3,0.0,0.0,0.03,0.97,0.0,2,0.0004487206169869,0.0013537568738684,0.9374845623970032,0.0439399033784866,0.0167730320245027,2,0,0,1,0,0,3,2.2170925611076507e-05,5.716835998270943e-06,0.0950816321068864,0.9048291981267484,6.128200475582427e-05,2,0.0,0.0,1.0,0.0,0.0
32,3.0,1.2000000000000002,834,0.9722859691360586,4.33,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,8.033611811697483e-05,0.0001114960832637,0.0008900007233023,0.9988405108451844,7.764183101244271e-05,3,0,0,0,1,0,3,1.1611419389576816e-06,1.413496478431489e-07,0.0029125663162520407,0.9970800634684209,6.067723740243617e-06,3,0.0,0.0,0.0,1.0,0.0
33,3.0,1.9000000000000001,58,0.9816144968066858,4.0,3,0.0,0.0,0.0003,0.9997,0.0,3,0.01753,0.00017,0.01206,0.94779,0.02245,3,0.0,0.0,0.16,0.82,0.02,3,6.457591098296689e-06,1.1611126637944835e-06,0.0002675896394066,0.999601662158966,0.0001231031637871,3,0,0,0,1,0,0,0.5701357755079991,0.0013497037297279051,0.18647766582938813,0.06132538546558616,0.1807114694672987,2,0.0,0.0,1.0,0.0,0.0
34,0.0,0.9500000000000001,906,-0.8747947673339622,1.33,0,0.8169,0.1831,0.0,0.0,0.0,0,0.84421,0.15573,2e-05,3e-05,1e-05,0,1.0,0.0,0.0,0.0,0.0,0,0.9917700290679932,0.0054215509444475,0.0011478922097012,8.173620153684169e-05,0.0015788146993145,0,1,0,0,0,0,0,0.7309059014950494,0.046982671763837115,0.0004165253860438823,6.386187048488108e-05,0.22163103948458465,3,0.0,0.0,0.0,1.0,0.0
35,0.0,1.0,769,-0.631483907942096,4.33,0,1.0,0.0,0.0,0.0,0.0,0,0.99978,0.00019,2e-05,0.0,1e-05,0,1.0,0.0,0.0,0.0,0.0,0,0.9942194223403932,0.0023460199590772,0.0011469314340502,7.113419269444421e-05,0.0022165128029882,0,1,0,0,0,0,1,0.4674488175290547,0.5209059887651993,8.356157840417886e-05,0.00014600826388223845,0.011415623863459491,0,1.0,0.0,0.0,0.0,0.0
36,0.0,0.4,168,-1.3183093832177182,4.33,0,0.6938,0.3062,0.0,0.0,0.0,0,0.57855,0.27699,0.14349,0.00056,0.00041,1,0.34,0.66,0.0,0.0,0.0,1,0.3122299313545227,0.6409834623336792,0.0257834736257791,2.561705514381174e-05,0.020977433770895,0,1,0,0,0,0,1,0.20015521182863352,0.5499606440647009,0.011645674867181452,0.00020421866046762405,0.2380342505790163,0,1.0,0.0,0.0,0.0,0.0
37,3.0,1.55,742,-0.791095672931904,4.67,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,7.896085298852995e-05,0.0001104063630918,0.0008809576975181,0.9988540410995485,7.57717716624029e-05,3,0,0,0,1,0,3,0.0009112420095484742,1.8621510829515407e-05,0.03873147840090656,0.95098385313346,0.009354804945255037,3,0.0,0.0,0.0,1.0,0.0
38,3.0,1.6,442,-0.9415975706821444,4.67,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,8.094620716292411e-05,0.0001127357390942,0.0008851603488437,0.9988434314727784,7.768790965201333e-05,3,0,0,0,1,0,3,3.543208539869988e-07,6.106313813251512e-08,1.941820069008865e-05,0.9999794020866163,7.643287013891652e-07,3,0.0,0.0,0.0,1.0,0.0
39,4.0,1.35,471,1.508230257429648,7.33,4,0.0,0.0,0.0001,0.0,0.9999,4,0.0028,0.0,0.00025,0.0,0.99695,4,0.0,0.0,0.0,0.0,1.0,4,0.0012313371989876,0.0002631094830576,0.0064074108377099,0.0002920912229456,0.9918060302734376,4,0,0,0,0,1,4,0.09483557811790207,0.000333503982176644,0.04149925827964944,0.01985512899995736,0.8434765306203142,4,0.0,0.0,0.0,0.0,1.0
40,1.0,0.5,613,0.19478685401370774,1.33,1,0.0148,0.9852,0.0,0.0,0.0,1,0.01328,0.98634,0.0,0.00038,0.0,1,0.46,0.54,0.0,0.0,0.0,1,0.0134528279304504,0.9847426414489746,0.0010953835444524,0.0003437051491346,0.0003654622705653,1,0,1,0,0,0,1,0.4056439972545201,0.5937307819155733,0.0001864229172355918,2.141712733932615e-05,0.00041738078533175966,1,0.0,1.0,0.0,0.0,0.0
41,4.0,1.9000000000000001,294,-0.937798668710807,1.67,4,0.0004,0.0,0.0001,0.0,0.9996,4,0.0177,6e-05,0.19408,0.0,0.78816,4,0.02,0.0,0.39,0.0,0.59,2,0.0056686187162995,0.0073260790668427,0.9641243815422058,0.0003678310895338,0.0225131418555974,4,0,0,0,0,1,4,0.011958448429916273,0.002392799325431624,0.2796536470707951,0.002318627617314971,0.7036764775565421,0,1.0,0.0,0.0,0.0,0.0
42,1.0,0.9000000000000001,854,-1.4837610334482148,4.33,1,0.0006,0.9994,0.0,0.0,0.0,1,0.00231,0.99769,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1,0.0110096894204616,0.9871875047683716,0.0011523534776642,0.0003506503126118,0.0002997227711603,1,0,1,0,0,0,1,0.37049318832895745,0.6206557022381262,4.5489553884638815e-05,5.03852361611816e-05,0.008755234642870521,3,0.0,0.0,0.0,1.0,0.0
43,0.0,0.6500000000000001,17,-1.2406230712082662,1.33,4,0.0937,0.0,0.3414,0.0,0.5649,2,0.13747,0.31067,0.40266,0.02517,0.12402,1,0.14,0.43,0.24,0.01,0.18,2,0.0298512335866689,0.1873616874217987,0.7292165160179138,0.0044965287670493,0.0490740947425365,2,0,0,1,0,0,2,0.010608842460020435,0.00024451722057962204,0.5339382972781984,0.014865029638328845,0.4403433134028727,4,0.19792,0.1875,0.088542,0.0,0.52604
44,1.0,0.05,941,-1.2722856075632774,4.67,1,0.0076,0.9924,0.0,0.0,0.0,1,6e-05,0.99585,0.00402,6e-05,0.0,1,0.02,0.96,0.01,0.0,0.01,1,0.0052019986324012,0.9863133430480956,0.0071680410765111,0.0006023171590641,0.0007142417598515,1,0,1,0,0,0,1,2.0618286799661028e-06,0.9967878994297256,0.0032048566467238857,5.121353598603274e-07,4.669959510549713e-06,1,0.46354,0.53646,0.0,0.0,0.0
45,4.0,2.0,535,0.20949674793578682,1.67,4,0.0,0.0,0.0,0.0,1.0,4,0.00837,0.0002,0.00025,1e-05,0.99117,4,0.0,0.0,0.0,0.0,1.0,4,0.0012315473286435,0.0002607291389722,0.0062829852104187,0.0002774211461655,0.9919473528862,4,0,0,0,0,1,2,0.0006249586375552153,0.00025854961237862845,0.5342229246557031,0.032031052909544375,0.4328625141848188,4,0.0,0.0,0.0,0.0,1.0
46,4.0,0.4,118,-0.1666566042499411,4.0,4,0.0006,0.0,0.0014,0.0,0.998,4,0.22461,0.00058,0.00973,0.00327,0.7618,4,0.02,0.0,0.01,0.0,0.97,4,0.0235507227480411,0.0005819625221192,0.0196130611002445,0.0124511634930968,0.9438031315803528,4,0,0,0,0,1,3,0.0005240468090937403,8.769524155707345e-05,0.3851395494243354,0.6120641575123091,0.002184551012704722,4,0.0,0.0,0.0,0.0,1.0
47,2.0,0.5,416,2.58583971357834,1.33,2,0.0003,0.0,0.9963,0.0,0.0035,2,0.00397,1e-05,0.86267,0.0,0.13334,2,0.03,0.0,0.49,0.0,0.48,2,0.0011811580043286,0.002736777300015,0.9908190369606018,0.0013353457907214,0.0039276955649256,2,0,0,1,0,0,2,0.00026397135299723414,0.0002677477251493611,0.99501693214086,1.8686509859520567e-05,0.004432662271133965,2,0.0,0.0,1.0,0.0,0.0
48,4.0,1.3,573,-0.5898282944974087,1.67,4,0.0018,0.0,0.0042,0.0,0.9941,4,0.09912,2e-05,0.06037,1e-05,0.84048,4,0.03,0.0,0.37,0.0,0.6,2,0.0039417329244315,0.0001779170561349,0.7181674838066101,0.0043711238540709,0.2733417451381683,4,0,0,0,0,1,4,0.005735164726168771,0.0004460509986157277,0.23559552315531937,0.0011684099233965637,0.7570548511964995,4,0.0,0.0,0.18229,0.0,0.81771
49,0.0,0.6000000000000001,401,-1.617076605060194,1.67,0,1.0,0.0,0.0,0.0,0.0,0,0.99963,0.0,1e-05,0.0,0.00036,0,1.0,0.0,0.0,0.0,0.0,0,0.9942317605018616,0.0023400539066642,0.0011497010709717,7.126395939849317e-05,0.0022070526611059,0,1,0,0,0,0,1,0.4144944632415338,0.585114681855353,6.834963907773613e-05,3.10546896599051e-05,0.00029145057437563284,1,0.0,1.0,0.0,0.0,0.0
50,4.0,0.45,197,-0.29734895292904917,4.67,4,0.0,0.0,0.0,0.0,1.0,4,0.08958,3e-05,0.00437,0.0,0.90601,4,0.39,0.0,0.09,0.0,0.52,4,0.0034299048129469,0.0001748214999679,0.0046573695726692,0.0004018074832856,0.9913361072540284,2,0,0,1,0,0,0,0.8621691987585456,0.011354800578689659,0.010383791287938367,0.004101865192270583,0.1119903441825558,4,0.0,0.0,0.0,0.0,1.0
51,1.0,0.25,564,0.7169744512501897,4.0,1,0.049,0.951,0.0,0.0,0.0,1,0.04521,0.95257,0.0,0.00221,0.0,1,0.13,0.87,0.0,0.0,0.0,1,0.0106200166046619,0.9875075221061708,0.0012251433217898,0.0003284876875113,0.0003188278351444,0,1,0,0,0,0,1,0.0494651705135782,0.9503832352038752,1.5216748667127648e-05,8.063017237295732e-06,0.00012831451664230918,1,0.0,1.0,0.0,0.0,0.0
52,4.0,1.1,593,-1.8934953183269778,4.33,4,0.0,0.0,0.1965,0.0,0.8034,4,0.22217,7e-05,0.25553,1e-05,0.52222,2,0.0,0.0,0.65,0.01,0.34,4,0.00328901829198,9.868480265140532e-05,0.4833721220493316,0.0088689625263214,0.5043712258338928,4,0,0,0,0,1,4,0.0015233081326377072,0.00011894551247948484,0.34696805238467465,0.010146834802889632,0.6412428591673186,4,0.0,0.0,0.0,0.0,1.0
53,0.0,0.7000000000000001,411,-0.12813663096893474,1.33,0,0.9999,0.0001,0.0,0.0,0.0,0,0.99887,0.00105,4e-05,0.0,4e-05,0,1.0,0.0,0.0,0.0,0.0,0,0.9941591024398804,0.0024511367082595,0.0011795902391895,6.932165706530213e-05,0.0021408984903246,4,0,0,0,0,1,4,0.2155891281295044,0.0563603740489027,0.0001200180494960106,5.0570823073830065e-05,0.727879908949023,2,0.0,0.0,0.99479,0.0,0.0052083
54,3.0,1.3,175,2.0225710677456616,1.67,2,0.0,0.0,0.9944,0.0,0.0056,3,0.13705,2e-05,0.12887,0.61953,0.11453,3,0.0,0.0,0.0,1.0,0.0,3,7.535823533544317e-05,0.0001072371887858,0.0009272404713556,0.9988136291503906,7.660118717467412e-05,3,0,0,0,1,0,3,3.139685199314422e-07,4.385949274966048e-08,4.332016355755853e-05,0.9999513108590451,5.01114938427806e-06,1,0.0,0.89583,0.10417,0.0,0.0
55,0.0,0.9500000000000001,49,0.6599521423538297,4.33,1,0.1316,0.8684,0.0,0.0,0.0,1,0.19274,0.70404,3e-05,0.10314,5e-05,1,0.07,0.93,0.0,0.0,0.0,0,0.5526200532913208,0.4459330439567566,0.0005660782335326,4.3364157136238646e-06,0.0008764677331782,1,0,1,0,0,0,1,0.1795660029599944,0.8171394222118368,0.0001337240444774097,0.0003974997417858106,0.0027633510419052755,3,0.0,0.0,0.0,1.0,0.0
56,0.0,0.15000000000000002,500,0.31972129950437594,4.33,0,1.0,0.0,0.0,0.0,0.0,0,0.99263,0.00727,1e-05,8e-05,1e-05,0,1.0,0.0,0.0,0.0,0.0,0,0.9941204190254213,0.0024031915236264,0.0012114444980397,7.265901513164863e-05,0.0021922050509601,0,1,0,0,0,0,0,0.8643004135848164,0.1265581477585872,2.1026522604881653e-05,3.728951203319017e-05,0.009083122621958586,3,0.0,0.0,0.0,1.0,0.0
